observation_epoch,dewpoint_f,feelslike_f,precip_1hr_in,pressure_in,relative_humidity,temp_f,visibility_mi,wind_mph,windchill_f,weather
2018-01-12 05:14:51,58,59.0,0.0,30.09,0.98,59.0,10.0,0.0,,Overcast
2018-01-12 06:45:02,59,59.2,0.0,30.04,0.98,59.2,10.0,0.0,,Overcast
2018-01-20 23:34:51,38,50.0,0.0,30.02,0.63,50.0,10.0,0.0,,Clear
2018-01-21 15:54:53,38,50.7,0.0,30.24,0.62,50.7,10.0,0.2,,Overcast
2018-01-21 16:20:00,39,52.2,0.0,30.24,0.6,52.2,10.0,0.0,,Overcast
2018-01-21 17:19:57,40,53.2,0.0,30.21,0.6,53.2,10.0,0.0,,Overcast
2018-01-21 17:25:01,40,53.4,0.0,30.21,0.6,53.4,10.0,0.0,,Overcast
2018-01-21 17:25:01,40,53.4,0.0,30.21,0.6,53.4,10.0,0.0,,Overcast
2018-01-22 01:54:56,42,50.0,0.0,30.16,0.74,50.0,10.0,0.0,,Clear
2018-01-22 01:54:56,42,50.0,0.0,30.16,0.74,50.0,10.0,0.0,,Clear
2018-01-22 05:00:33,45,54.1,0.0,30.15,0.7,54.1,10.0,0.0,,Overcast
2018-01-22 13:44:31,46,51.6,0.0,30.14,0.8,51.6,10.0,0.0,,Overcast
2018-01-22 14:20:00,46,53.6,0.0,30.15,0.75,53.6,10.0,0.0,,Overcast
2018-01-22 21:40:01,49,63.7,0.0,30.03,0.58,63.7,10.0,0.0,,Clear
2018-01-23 06:40:01,48,53.8,0.0,29.88,0.82,53.8,10.0,0.0,,Overcast
2018-01-23 07:54:41,50,53.6,0.0,29.84,0.88,53.6,10.0,0.0,,Overcast
2018-01-23 09:20:01,53,54.1,0.0,29.81,0.97,54.1,10.0,0.0,,Rain
2018-01-23 09:20:01,53,54.1,0.0,29.81,0.97,54.1,10.0,0.0,,Rain
2018-01-27 17:04:50,38,55.6,0.0,30.46,0.52,55.6,10.0,0.0,,Clear
2018-01-28 15:20:01,51,51.4,0.07,30.28,0.98,51.4,3.0,0.0,,Rain
2018-02-21 02:10:00,61,68.5,0.0,30.34,0.77,68.5,10.0,0.0,,Clear
2018-02-21 03:25:00,61,65.5,0.0,30.33,0.86,65.5,10.0,0.0,,Clear
2018-02-21 03:25:00,61,65.5,0.0,30.33,0.86,65.5,10.0,0.0,,Clear
2018-02-21 06:25:00,60,62.2,0.0,30.34,0.94,62.2,10.0,0.2,,Clear
2018-02-21 09:25:00,60,60.6,0.0,30.33,0.99,60.6,10.0,0.9,,Clear
2018-02-21 10:45:01,60,60.8,0.0,30.32,0.98,60.8,10.0,0.0,,Clear
2018-02-21 10:45:01,60,60.8,0.0,30.32,0.98,60.8,10.0,0.0,,Clear
2018-02-21 11:45:01,60,61.0,0.0,30.34,0.98,61.0,10.0,0.0,,Clear
2018-02-21 12:39:58,61,61.2,0.0,30.34,0.98,61.2,7.0,0.0,,Clear
2018-02-23 08:50:01,41,41.0,0.0,30.59,0.99,41.0,8.0,0.0,41.0,Overcast
2018-02-24 08:35:00,48,48.0,0.0,30.19,0.99,48.4,0.1,0.0,48.0,Fog
2018-02-24 08:35:00,48,48.0,0.0,30.19,0.99,48.4,0.1,0.0,48.0,Fog
2018-02-24 12:00:04,49,49.0,0.0,30.16,0.99,49.3,0.1,0.0,49.0,Fog
2018-02-24 12:35:00,50,50.0,0.0,30.16,0.99,49.6,0.1,0.0,50.0,Fog
2018-02-24 12:39:48,50,50.0,0.0,30.16,0.99,49.8,0.1,0.0,50.0,Fog
2018-02-24 12:44:52,50,50.0,0.0,30.16,0.99,49.8,0.1,0.0,50.0,Fog
2018-02-24 12:49:56,50,50.0,0.0,30.16,0.99,50.0,0.1,0.0,,Fog
2018-02-24 12:49:56,50,50.0,0.0,30.16,0.99,50.0,0.1,0.0,,Fog
2018-02-24 13:00:04,50,50.2,0.0,30.18,0.99,50.2,0.1,0.0,,Fog
2018-01-09 03:46:27,37,38.0,0.0,30.1,0.99,37.6,8.0,0.0,38.0,Mostly Cloudy
2018-01-09 03:50:34,37,38.0,0.0,30.1,0.97,37.6,8.0,0.0,38.0,Mostly Cloudy
2018-01-09 03:50:34,37,38.0,0.0,30.1,0.97,37.6,8.0,0.0,38.0,Mostly Cloudy
2018-01-09 03:59:15,37,37.0,0.0,30.1,0.97,37.4,10.0,0.0,37.0,Overcast
2018-02-24 13:29:56,50,50.4,0.0,30.18,0.99,50.4,0.1,0.0,,Fog
